['अनौपचारिकता', 'अनौपचारिकीकरण', 'लिएपाठ्यक्रमअनौपचारिक', 'निरौपचारिक', 'अनौपचारिका', 'औपचारिक', 'पचारिक']
['उत्कीर्णक', 'उत्कीर्णकला', 'उत्कीलय', 'उत्कीर्णनों', 'उत्कीर्णित', 'उत्कीलन', 'अर्धोत्कीर्ण']
['चुन्नीबाई', 'चुन्नीभाई', 'धन्नी', 'छुन्नी', 'चुन्नटें', 'चुन्नु', 'चुन्नल']
["है'उन्मुक्त", 'उन्मुक्तजी', 'उड़तेउन्मुक्त', 'मेंउन्मुक्त', 'अन्मुक्त', 'उन्मुक्तता', 'उन्मुक्तमैं']
['जीतने', 'जीतनाचीलू', 'हराना', 'जीतनक', 'हारना', 'जिताना', 'जीत']
['लगवाना', 'करना', 'देना', 'अलगाना', 'लगानाऔर', 'लगना', 'लगानी']
['हँकड़ना', 'सुकड़ना', 'जकड़नों', 'जकड़बदी', 'कुकड़ना', 'जकड़ने', 'अकड़ना']
['कृतज्ञभाव', 'कृतज्ञत', 'अकृतज्ञ', 'कृतज्ञतावश', 'कृतज्ञः', 'कृतज्ञो', 'कृतज्ञतापूर्वक']
['भिड़ने', 'भिड़ों', 'भिड़ू', 'भिड़ेंगे', 'भिड़ो', 'भिड़ण्त', 'भिड़ें']
['भिगोनी', 'भिगोइए', 'भिगोयी', 'भिगोदें', 'भिगोइ', 'भिगोय', 'भिगोके']
['सुड़ना', 'लुड़ना', 'निहुड़ना', 'बुड़ना', 'मुड़न', 'निचुड़ना', 'मुड़ने']
['छुड़ाऊं', 'निहुड़ाना', 'छुड़ाइए', 'छुड़ाओ', 'छुड़वाना', 'बुड़ाना', 'लुड़खुड़ाना']
['निर्णीते', 'निर्णीतं', 'विर्णीत', 'अधिनिर्णीत', 'निर्णीय', 'अनिर्णीत', 'निर्णीतानुसरण']
['घिरने', 'घुमड़ना', 'फ़िरना', 'डोबझिरना', 'निरना', 'ठिठिरना', 'थिरना']
['काआराम', 'तोआराम', 'हैआराम', 'एशोआराम', 'कोआराम', 'मेंआराम', 'सेआराम']
['अचीरा', 'पचीरा', 'कनचीरा', 'चीराबगड़', 'मानचीरा', 'चीरे', 'इर्रदिंस']
['बिछानी', 'बिछाइए', 'बिछाइ', 'बिछावे', 'बिछावत', 'बिछाऽ', 'बिछावण']
['भार', 'बस्तों', 'बोझाढोते', 'कंधों', 'ढ़ोते', 'लादा', 'ढ़ोता']
['काँटाटोली', 'काँटन', 'काँटालाबुट्टे', 'काँटक', 'काँटीक', 'लड़ियाकाँटा', 'धर्मकाँटा']
['1बजाज', '7बजाज', '8बजाज', 'बजाजे', 'बजाज6', 'बजाज17', 'बजाज2']
['पलटना', 'सुलटना', 'बिलटना', 'उलटनी', 'लटना', 'उलटन', 'पलटती']
['उजाड़ी', "उजाड़'र", 'उजाड़ने', 'उजाड़और', 'उजड़ना', 'उजाड़ां', 'उजाड़ो']
['मारने', 'मारनालाठी', 'ल्गाना', 'पीटना', 'मारा', 'फुफकारना', 'मार']
['निकलना', 'निकाल', 'निकलवाना', 'निकालने', 'निकाला', 'निकालनी', 'निकालनाहलक']
['बताया', 'कहा', 'कुछकहना', 'बताना', 'कहनाहम', 'कहनाहै', 'कहनायह']
['चौक्का', 'छक्क', 'छक्के', 'छक्केकोई', 'छ्क्का', 'छक्की', 'छक्\u200dका']
['रज़ाई', 'रज़ाई', 'करजाई', 'रजाईयों', 'लिहाफ', 'ऑरजाई', 'मीरजाई']
['बुननाना', 'बुननी', 'बुनने', 'बुननें', 'बुननामहँगा', 'नामही', 'बुनते']
['गोदन', 'गोदनी', 'गोदनामे', 'पोदना', 'लोदना', 'गोदने', 'दोदना']
['गढ़नि', 'गढ़न', 'ढूढ़ना', 'बेढ़ना', 'गढ़ना', 'ढ़ूढ़ना', 'नढ़ना']
['दिखावटीपन', 'दिखाव', 'दिखावी', 'दिखावइ', 'दिखावण', 'दिखावेपन', 'दिखावहु']
['रचनासुंदर', 'रचना.बधाई', 'रचना.आप', 'रचना.नई', 'रचना.आपकी', 'रचनायों', 'रचनायो']
['उतारनी', 'उकतारना', 'उतारनाभयार', 'उतरना', 'निसतारना', 'उतार', 'पड़तारना']
['बताया', 'कहा', 'कुछकहना', 'बताना', 'कहनाहम', 'कहनाहै', 'कहनायह']
['रचनासुंदर', 'रचना.बधाई', 'रचना.आप', 'रचना.नई', 'रचना.आपकी', 'रचनायों', 'रचनायो']
['फ़िल्म', 'फ़िल्म', 'है.फिल्म', 'फिल्मः', 'फिल्मू', 'फिल्मु', 'फिल्मं']
['देना', 'करने', 'करवाना', 'चाहिए', 'कराना', 'रखना', 'करनी']
['बैठेकरना', 'कामकरना', 'अभिनयो', 'बोकरना', 'अभिनयन', 'कोकरना', 'कार्यकरना']
['4392खिलौना', 'खिलौनाछोटे', 'रामखिलौना', '7082खिलौना', 'खिलौनाविशाल', 'खिलौने', 'खिलौ']
['एकमात्रा', 'कीएकमात्र', 'मुक्त', 'प्रतीकमात्र', 'अेकमात्र', 'इकलौता', 'में.एकमात्र']
['उन्नततम', 'INLEAD', 'उन्नततर', 'औरतउन्नत', 'सेउन्नत', 'उन्नतहैं', 'है.उन्नत']
['प्रकाशित.नारी', 'प्रकाशितइस', 'प्रकाशितसहकार', 'प्रकाशितप्रकाशन', 'प्रकाशिता', 'प्रकाशितं', 'प्रकाशितत']
['छपेगा', 'छपने', 'छपनी', 'छपें', 'छपवाइए', 'छपेगी', 'छपा']
['पक्षीयो', 'दव्पक्षीय', 'लोकपक्षीय', 'पुरुषपक्षीय', 'द्वपक्षीय', 'विपक्षीय', 'दुपक्षीय']
['बैजानी', 'अजरबैजान', 'अझरबैजान', 'अज़रबैजान', 'अजेरबैजान', 'अज़रबैजानी', 'आज़र्बैजानी']
['मि.ली.प्रति', 'रु.प्रति', 'उसकेप्रति', 'कीप्रति', 'प्र्रति', 'रू0प्रति', 'कुं०प्रति']
['बना', 'करना', 'बनाया', 'बनाकर', 'बनाते', 'बनानी', 'बनवाना']
['उजलाना', 'खिजलाना', 'जलानाई', 'जलाने', 'जलानाजितने', 'कजलाना', 'जला']
['हुआहोना', 'तोहोना', 'अधिकहोना', 'बंदहोना', 'नाहोना', 'हीहोना', 'पूर्ण_वर्ग_बनाना']
['जे5', 'ऍस७४०', 'ए7', '10R', 'एस7', 'एची', 'गिओ']
['उपड़ना', 'सपड़ना', 'पडऩा', 'पड़नी', 'चपड़ना', 'पड़', 'पड़ता']
['चिढ़', 'बड़बड़ाहट', 'बौखलाहट', 'झेंपी', 'झेंप', 'झुँझलाहट', 'झिड़क']
['प्रभावितसीमा', 'प्रभावितो', 'प्रभावितभ्रष्ट', 'प्रभावितरीवा', 'निर्भरना', 'प्रभावितइस', 'सामनाकरना']
['भातृप्रेम', 'प्रेमप्रेम', '1प्रेम', '3प्रेम', '59प्रेम', 'तबप्रेम', 'गौप्रेम']
['ऐसा', 'दिखता', 'हैजैसा', 'वैसे', 'लगता', 'शायद', 'नहीं.जैसा']
['अनुष्ठानका', 'महाअनुष्ठान', 'अनुष्ठान्', 'अनुष्ठानपरक', 'अनुष्ठानं', 'अनुष्ठानीय', 'अनुष्ठानादि']
['कंपिथ', 'भञ्जन', 'गुगतेन', 'खौफ', 'मन', 'ईति', 'थरथर']
['आतंकित', 'भयभीता', 'सशंकित', 'आशंकित', 'चिंतित', 'भयातुर', 'घबरा']
['चपकाना', 'छपकाना', 'अकबकाना', 'ढलकाना', 'झलकाना', 'बकबकाना', 'ठकठकाना']
['जिवाँना', '36L', '३५८२', '8257', 'Åløkke', 'कह्व', 'ref33']
['लव्य', 'मरनापल', 'सुमरना', 'मरनाइ', 'मरने', 'मिटना', 'मरेगा']
['त्वेष', 'अक्रोध', 'क्रोधावेग', 'क्रोधावेश', 'गुस्सा', 'क्रोधः', 'क्रोधु']
['दोओ', 'चभक', 'धोळ', 'बकूँ', 'ऊठी', 'जाऒ', 'टपकू']
['छीलने', 'छीलन', 'छीलनेसफेद', 'छीली', 'काटना', 'पीसना', 'छीलते']
